編號,公園名稱,里別,面積,類別,座落位置,使用分區,所在轄區,X座標,Y座標
236,高興公園(安西自辦重劃區公兒11),安西里,0.3448,鄰里公園,安西一街與安通三街,區公所,安南區,120.205241,23.03065
237,國際村親子公園(AN09-9),新順里,0.3526,鄰里公園,慶安路與安和路二段285巷18弄,區公所,安南區,120.21476,23.042675
238,梅花公園(公兒32),梅花里,0.46,鄰里公園,安中路一段699號,區公所,安南區,120.195144,23.041402
239,梅花友愛公園(公兒2),梅花里,0.096465,鄰里公園,安中路一段557巷與安中路一段557巷19弄,區公所,安南區,120.199187,23.039994
240,梅花北安公園(綠1),梅花里,0.0419,鄰里公園,北安路二段與北安路二段433巷,區公所,安南區,120.202392,23.037411
241,梅花安中公園(公兒3),梅花里,0.3641,鄰里公園,安中路一段557巷（梅花里活動中心旁）,區公所,安南區,120.1996,23.039747
242,梅花里社區公園(安中段公兒27),梅花里,0.394,鄰里公園,同安路262巷與同安路一段757巷（安慶國小對面）,區公所,安南區,120.192752,23.040944
243,理想巴洛克公園(公兒10),理想里,0.14,鄰里公園,大安街26巷與大安街201巷,區公所,安南區,120.193294,23.034952
244,理想社區公園(海東段公兒13),理想里,0.430197,鄰里公園,大安街與大安街117巷（理想里活動中心旁）,區公所,安南區,120.19239,23.032946
245,頂好公園(安西自辦重劃區公兒4),頂安里,0.578,鄰里公園,安中路一段與安中二街,區公所,安南區,120.203984,23.03784
246,頂美公園(公兒6),頂安里,0.6963,鄰里公園,慈安路與安通二街(和欣客運旁),區公所,安南區,120.205618,23.032777
247,鹿耳門公園(公兒1),城東里,0.75,鄰里公園,城安路與安中路六段（土城聖母廟對面）,區公所,安南區,120.127204,23.066362
248,朝安祥和公園,大安里,0.7127,鄰里公園,義安街142巷,區公所,安南區,120.19633,23.032862
249,塭南公園(公兒3),塭南里,0.33,鄰里公園,安昌街174巷79弄與長和街二段12巷277弄,區公所,安南區,120.221011,23.06951
250,媽祖宮公園,鹿耳里,0.8928,鄰里公園,媽祖宮一街136號,區公所,安南區,120.124508,23.036516
251,感恩公園(公兒8),溪心里,0.32,鄰里公園,功安一街與仁安二街（溪心里活動中心旁）,區公所,安南區,120.179894,23.05
252,慈雲公園(安西自辦重劃區公兒5),安慶里,0.395,鄰里公園,安中路一段220巷對面與北安二街,區公所,安南區,120.206308,23.036359
253,新順公園(一)(公兒36),新順里,0.25,鄰里公園,安豐六街與育安四街,區公所,安南區,120.21603,23.046639
254,新順公園(二)(公兒6),新順里,0.75,鄰里公園,安豐六街與育安街,區公所,安南區,120.215308,23.04678
255,溝南厝紀念公園(公兒7),佃東里,0.25,鄰里公園,海佃路四段388巷2弄41號旁,區公所,安南區,120.177864,23.062914
256,溪心公園(公兒7),溪心里,0.55,鄰里公園,仁安六街與功安四街,區公所,安南區,120.182902,23.050593
257,溪仔墘植物公園(溪墘段公兒1),溪墘里,0.316175,鄰里公園,海佃路一段372巷與安寧街（溪墘里活動中心旁）,區公所,安南區,120.192697,23.028095
258,溪東友善公園(公兒AN25-11),新順里,0.3674,鄰里公園,溪東一街(海佃國小對面),區公所,安南區,120.200461,23.027243
259,溪東水岸公園(溪東段公兒12),溪東里,0.259,鄰里公園,府安路5段98巷內,區公所,安南區,120.200463,23.024294
260,溪東育樂公園(公兒AN25-10),溪東里,0.2451,鄰里公園,安富街(海佃國小旁),區公所,安南區,120.199468,23.027408
261,溪東親子公園(溪東公兒9),溪東里,0.3406,鄰里公園,安富街與郡安路五段153巷（海佃國中旁）,區公所,安南區,120.198254,23.027225
262,義安公園(公兒15),大安里,0.2866,鄰里公園,義安街142巷與義安街198巷,區公所,安南區,120.196343,23.03282
263,箔子寮公園(安西自辦重劃區公兒7),安西里,0.4977,鄰里公園,安西路與安西二街（安西里活動中心對面）,區公所,安南區,120.208977,23.033112
264,鳳凰公園(公兒33),鳳凰里,0.47,鄰里公園,安中路一段698巷,區公所,安南區,120.198415,23.042301
265,鳳凰休閒公園(怡中段公兒34),鳳凰里,0.2753,鄰里公園,安中路一段622巷與北安路145巷,區公所,安南區,120.200657,23.042192
266,樂成公園(安中自辦重劃區公兒12),安西里,0.5,鄰里公園,安通路4段47巷28號對面,區公所,安南區,120.210861,23.030183
267,樂活公園,國安里,0.1827,鄰里公園,宜居路（國安里活動中心旁）,區公所,安南區,120.184449,23.024902
268,學東公園,學東里,0.9531,鄰里公園,公學路六段642巷對面(學東國小旁),區公所,安南區,120.143988,23.077576
269,館前公園(綠22、綠22-1),東和里,0.1734,鄰里公園,慶和路二段與館前南路,區公所,安南區,120.230877,23.052329
270,總頭公園(公兒12),總頭里,0.36,鄰里公園,長溪街二段570巷,區公所,安南區,120.204203,23.054978
271,長安公園(公兒4),長安里,0.33,鄰里公園,長和路四段347巷與長和路四段389巷2弄,區公所,安南區,120.199998,23.067114
272,懷恩公園(公兒6),淵東里,0.37,鄰里公園,智安三街與仁安一街（淵東里活動中心旁）,區公所,安南區,120.178215,23.052435
273,顯宮公園(媽宮段公兒2),顯宮里,0.3,鄰里公園,媽祖宮五街與媽祖宮二街186巷（鹿耳門天后宮後）,區公所,安南區,120.124483,23.038285
274,中央公園(公),慶安里,1.3,鄰里公園,忠孝街與新興街口,區公所,西港區,120.202005,23.117122
275,公1,慶安里,0.4414,鄰里公園,西港消防隊旁,區公所,西港區,120.202797,23.125753
276,公園大道,建南里,7,鄰里公園,公園路(安北路至成功路),區公所,佳里區,120.174044,23.166506
277,佳里公園(公1),六安里,2.5,區域公園,延平路與安北路口,大型,佳里區,120.178102,23.168694
278,二鎮森林公園(環保公園),二鎮里,5,區域公園,官田區工業北路跟工社中街交會處,區公所,官田區,120.32528,23.217299
279,東山運動公園,東中里,26.948,區域公園,青葉路一段與中興南路交叉路口,區公所,東山區,120.403323,23.318563
280,千禧公園(公兒E13),關聖里,0.79,鄰里公園,裕農三街與裕和二街,區公所,東區,120.240833,22.985833
281,大智公園(公兒E60),大智里,0.27,鄰里公園,長東街,區公所,東區,120.230278,22.961667
282,大福公園(公兒E58),大福里,0.178,鄰里公園,立德四路與立德七路,區公所,東區,120.215557,22.975833
283,仁和公園(公兒E22),崇善里,0.1,鄰里公園,仁和路70號,區公所,東區,120.23,22.975556
284,公兒E41,復興里,0.3789,鄰里公園,裕忠路474號(復興活動中心旁),區公所,東區,120.241587,22.980326
285,公兒E58(州知事府),圍下里,0.8886,鄰里公園,衛民街博愛國小後方,區公所,東區,120.213889,22.992222
286,公兒E61(新厝公園),德高里,0.0856,鄰里公園,德昌路,區公所,東區,120.237169,22.96459
287,公兒E63(竹篙厝公園),德高里,0.8735,鄰里公園,德高國小後面,區公所,東區,120.237169,22.96459
288,巴克禮紀念公園(公18),崇明里,3.33,區域公園,中華東路(文化中心對面),大型,東區,120.221667,22.973611
289,巴克禮紀念公園(公18)-河津櫻花區,崇明里,5.8,區域公園,中華東路(文化中心對面),大型,東區,120.221944,22.9725
290,文化公園(公兒E24),和平里,0.8905,鄰里公園,仁和路41巷與文化二街,區公所,東區,120.231123,22.978245
291,文良公園(公兒E26),和平里,0.31,鄰里公園,文化一街與文化六街口_文化一街153巷151號,區公所,東區,120.232172,22.97518
292,文聖公園(虎尾寮公兒E7),文聖里,1.38,區域公園,裕忠路與裕文路,大型,東區,120.242778,22.982778
293,平實營區中央公園,後甲里,7,鄰里公園,小東路與中華東路交叉口,大型,東區,120.23642,22.996124
294,平實營區市地重劃工程(不含平實公園),後甲里,1.01,鄰里公園,小東路與中華東路交叉口,大型,東區,120.235071,22.998057
295,光明公園(公兒E48),小東里,0.42,鄰里公園,光明街175巷,區公所,東區,120.22894,22.997523
296,成大公園(公兒E28),成大里,0.174,鄰里公園,大學路與育樂街(遠百旁),區公所,東區,120.215026,22.996588
297,竹篙厝段公兒E29(目前為停車場),崇明里,0.589422,鄰里公園,崇明路(崇明國中旁),區公所,東區,120.225517,22.96881
298,至善園(綠E5),大學里,0.0966,鄰里公園,長榮路三段40號旁,區公所,東區,120.221817,22.993255
299,和平公園(公兒E25),和平里,0.95,鄰里公園,文化一街,區公所,東區,120.232261,22.976944
300,忠孝公園(公兒E31),忠孝里,0.3584,鄰里公園,榮譽街192號對面(榮民之家旁),區公所,東區,120.219709,22.976226
301,東成公園(公兒E56),虎尾里,0.1574,鄰里公園,東成街150號,區公所,東區,120.236316,22.980101
302,東和公園(公5),大學里,1.11,區域公園,小東路與林森路二段,大型,東區,120.225166,22.9989
303,東門圓環(綠4),東門與大同里與萬昌與開山里,0.21296,區域公園,北門路與府前路圓環,鄰里,東區,120.211389,22.988889
304,東寧運動公園(公4),大學里,5.4,區域公園,林森路與東寧路口,大型,東區,120.224722,22.991388
305,東興公園(公5),大學里,2.39,區域公園,東和路與林森路二段,大型,東區,120.224722,22.998333
306,林森(三角)公園(公2),龍山里,2.22,區域公園,林森路一段與長榮路一段路口,大型,東區,120.218868,22.983318
307,青年公園(公9),圍下里,1.25,區域公園,青年路與育樂街,大型,東區,120.214722,22.991667
308,南聖公園(公兒E2),南聖里,1.9,區域公園,裕和路與裕信路,大型,東區,120.246539,22.988469
309,後甲公園(虎尾寮公兒E1),後甲里,1.9,區域公園,裕永一街與裕永路路口,大型,東區,120.241771,22.990761
310,後甲圓環(綠7),後甲里與東聖里與富強里與東光里,0.28,區域公園,東寧路與中華東路圓環,鄰里,東區,120.233829,22.988361
311,時代公園(公83),東光里,3.6709,區域公園,凱旋路與東光路口,大型,東區,120.23164,22.992498
312,副都心北工區_公兒E61,東智里,0.2483,鄰里公園,德高國小北側,區公所,東區,120.237147,22.964588
313,副都心南工區_公60,東智里,0.6125,鄰里公園,大同路2段及保仁路,區公所,東區,120.216725,22.960752
314,副都心南工區_公61,東智里,1.7851,鄰里公園,崇賢一路及保仁路,大型,東區,120.217766,22.96074
315,崇善公園(公兒E23),崇善里,0.5,鄰里公園,崇善四街,區公所,東區,120.23,22.974722
316,崇誨公園(公兒E50),崇誨里,0.1033,鄰里公園,林森路二段192巷口,區公所,東區,120.224139,22.989455
317,崇德公園(公E2),崇德里,0.42,鄰里公園,崇德七街47號,區公所,東區,120.227903,22.975232
318,崇學公園(公兒E57),崇學里,0.16,鄰里公園,崇學路與崇德路口,區公所,東區,120.221607,22.977855
319,莊敬公園(公兒E49),莊敬里,0.19,鄰里公園,東興路,區公所,東區,120.230173,22.997662
320,富強公園(公兒E54),富強里,0.19,鄰里公園,裕農路446巷,區公所,東區,120.231667,22.985833
321,富裕公園(公兒E53),富裕里,0.16,鄰里公園,東門路二段301巷,區公所,東區,120.228056,22.983889
322,富農公園(公兒E55),虎尾里,0.2198,鄰里公園,富農街一段188巷,區公所,東區,120.235252,22.981783
323,裕平公園(虎尾寮公兒E43),文聖里,0.123,鄰里公園,裕平路276號旁,區公所,東區,120.244388,22.984755
324,裕華公園(虎尾寮公兒E14),裕聖里,0.46,鄰里公園,裕華一街及二街交叉口,區公所,東區,120.246467,22.978848
325,裕敬公園(虎尾寮公兒E10),裕聖里,0.435,鄰里公園,裕孝路與裕孝一街,區公所,東區,120.243995,22.979065
326,裕聖公園(虎尾寮公兒E8),裕聖里,1.29,鄰里公園,裕信三街與裕信路,區公所,東區,120.245278,22.981111
327,德光公園(公E1),德光里,0.8,鄰里公園,崇德路與崇德一街,區公所,東區,120.219144,22.980265
328,衛國公園(公兒E51),衛國里,0.1602,鄰里公園,林森路二段東門國宅旁,區公所,東區,120.225162,22.987719
329,龍山段公E7,龍山里,1.54363,區域公園,林森路一段與府連路口,大型,東區,120.220073,22.983819
330,關聖公園(公兒E5),關聖里,0.92,鄰里公園,裕和五街與裕英街,區公所,東區,120.246667,22.986389
331,南化源之旅公園,玉山里,12.4,區域公園,竹頭崎段 5號,區公所,南化區,120.533154,23.092348
332,大成公園(公兒4),田寮里,0.1119,鄰里公園,大成路二段42巷56號,區公所,南區,120.196204,22.97636
333,大林一公園,大林里,0.23,區域公園,大同路482巷(錫安護理之家前),大型,南區,120.213457,22.972755
334,大林二公園(公3),大林里,1,區域公園,大同路482巷底,大型,南區,120.209914,22.973717
335,大林公園 (公兒13)花鄉公園(廣7),大林里,0.33,鄰里公園,大同路二段482巷,區公所,南區,120.211899,22.974374
336,大恩公園(公82),大恩里,1.46,區域公園,桶盤淺公園旁,大型,南區,120.209962,22.965941
337,公66,白雪里,0.25,鄰里公園,新和東路南側，鹽埕路131巷 (市場西側),區公所,南區,120.188038,22.967535
338,公81,白雪里,0.4,鄰里公園,新和東路北側 (鹽埕圖書館對面),區公所,南區,120.187689,22.967578
339,公兒6,白雪里,0.111,鄰里公園,新都路與新建路路口(老人會館前)；鹽埕路131巷73號,區公所,南區,120.185547,22.967615
340,公兒S5,白雪里,0.1175,鄰里公園,鹽埕路131巷白雪里社區活動中心旁,區公所,南區,120.18824,22.968648
341,文南公園(公兒2),文南里,0.5,鄰里公園,永南三街23號,區公所,南區,120.187638,22.983657
342,文華公園(公兒3),文華里,0.58,鄰里公園,永華路一段275號,區公所,南區,120.189737,22.988111
343,日新一號公園,日新里,0.29,鄰里公園,利南街223號,區公所,南區,120.188331,22.974102
344,日新二號公園,日新里,0.0629,鄰里公園,金華路一段503巷,區公所,南區,120.189523,22.974205
345,水交社公61,明德里,2.194,區域公園,水交社路,大型,南區,120.202097,22.978843
346,水交社綠S1,明德里,0.01,鄰里公園,大成路與新都路口,區公所,南區,120.203434,22.976961
347,水萍塭公園(公7),廣州里,10.16,區域公園,永華路與金華路,大型,南區,120.192872,22.987138
348,田寮育樂公園(公兒1),田寮里,0.2606,鄰里公園,新興路265巷48號前,區公所,南區,120.193963,22.976097
349,再興里一號公園(綠3),再興里,0.21,鄰里公園,三官路46號,區公所,南區,120.193431,22.97991
350,再興里二號公園(綠4),再興里,0.15,鄰里公園,三官路222巷,區公所,南區,120.191663,22.978659
351,再興里三號公園(綠2),再興里,0.06,鄰里公園,新慶街10巷17號,區公所,南區,120.192686,22.98074
352,明和公園(公20),國宅里,3.43,區域公園,中華西路與新興路口,大型,南區,120.18477,22.975264
353,明亮公園(公兒S62),明亮里,0.257,鄰里公園,新都路436巷,區公所,南區,120.193943,22.967463
354,金華公園(公兒1),金華里,0.53,鄰里公園,健康路二段247巷40號,區公所,南區,120.190132,22.980359
355,南區公兒S45公園,明德里與府南里,0.5149498,鄰里公園,永成路3段398巷,區公所,南區,120.197065,22.969045
356,南區公兒S47公園,郡南里,0.213044,鄰里公園,仁愛之家南邊與新都路329巷,區公所,南區,120.196768,22.967324
357,南華公園(新興國宅公兒9),南華里,0.219,鄰里公園,中華南路二段300巷30弄,區公所,南區,120.187661,22.962104
358,南樂公園(公11),文華里,0.152,鄰里公園,南樂街,區公所,南區,120.187963,22.987165
359,建南二號公園(公兒1),建南里,0.1,鄰里公園,中華南路二段53巷33號,區公所,南區,120.193951,22.960901
360,建南公園,建南里,0.65,鄰里公園,德興路274巷,區公所,南區,120.19226,22.959811
361,省躬里公園段公兒9,省躬里,0.48,鄰里公園,省躬一街跟省躬橫街交叉(省躬國小後方),區公所,南區,120.179092,22.931436
362,郡南公園,郡南里,0.25,鄰里公園,永成路三段121巷底,區公所,南區,120.194021,22.965807
363,桶盤淺公園(公兒14)(大恩公園內),大恩里,0.75,鄰里公園,大同路二段752巷182號,區公所,南區,120.209766,22.966102
364,喜樹平安情社區公園(喜東段公兒1),喜北里,0.3292,鄰里公園,喜樹路206巷42弄,區公所,南區,120.178818,22.942495
365,喜樹生活公園,喜南里,0.631,鄰里公園,喜樹路171巷 (喜樹圖書館 旁),區公所,南區,120.17888,22.94055
366,新生公園(公英段公兒15),新生里,1.3734,區域公園,大林國宅後方,大型,南區,120.212361,22.976193
367,新生公園(公英段公兒80),新生里,0.3726,鄰里公園,大林國宅後方,區公所,南區,120.212056,22.977198
368,新興國宅-公兒11(光明休閒公園),光明里,0.1912,鄰里公園,新興路537巷1號對面,區公所,南區,120.186232,22.97383
369,新興國宅-公兒12(光明小而美休閒公園),光明里,0.1051,鄰里公園,新建路17巷13號,區公所,南區,120.18646,22.972862
370,新興國宅-公兒13,光明里,0.0601,鄰里公園,新建路21巷,區公所,南區,120.185847,22.971787
371,新興國宅-公兒14,光明里,0.0608,鄰里公園,新建路27巷,區公所,南區,120.185884,22.970715
372,新興國宅-公兒15(馬蹄公園),開南里,0.7196,鄰里公園,新建路37巷,區公所,南區,120.185731,22.969214
373,新興國宅-公兒16,開南里,0.0526,鄰里公園,新建路41巷,區公所,南區,120.18618,22.96828
374,新興國宅-公兒17,彰南里,0.096,鄰里公園,新建路16巷,區公所,南區,120.184669,22.970826
375,新興國宅-公兒19,彰南里,0.1912,鄰里公園,新建路26巷,區公所,南區,120.18405,22.96918
376,新興國宅-公兒20,開南里,0.1578,鄰里公園,新建路28巷,區公所,南區,120.184665,22.968512
377,新興國宅-公兒22,開南里,0.7217,鄰里公園,新建路53巷對面,區公所,南區,120.185964,22.965515
378,新興國宅-公兒23,開南里,0.1328,鄰里公園,新建路52巷,區公所,南區,120.184809,22.964381
379,新興國宅-公兒24,開南里,0.1062,鄰里公園,新建路54巷,區公所,南區,120.184666,22.963782
380,新興國宅-公兒25,南華里,0.1972,鄰里公園,中華南路二段302巷6弄,區公所,南區,120.187326,22.963027
381,新興國宅-公兒26,南華里,0.1592,鄰里公園,中華南路二段302巷2弄,區公所,南區,120.187299,22.962063
382,新興國宅-公兒27,南都里,0.1607,鄰里公園,中華南路二段315巷口,區公所,南區,120.18513,22.961037
383,萬年公園(灣裡公42),省躬里,1.9,區域公園,明興路925巷口,大型,南區,120.181108,22.933606
384,綠32,竹溪里,0.0577,鄰里公園,大成路一段與南門路交接口,區公所,南區,120.203602,22.975416
385,綠33 ,南都里,0.2312,鄰里公園,興隆路上(交通大隊前),區公所,南區,120.186507,22.959234
386,廣州公園,廣州里,0.25,鄰里公園,福吉五街16巷五號,區公所,南區,120.192915,22.98274
387,興南公園(南山段公兒14),佛壇里,0.285,鄰里公園,興南街及興南街252巷口,區公所,南區,120.180016,22.920556
388,興農公園(灣里公9),興農里,1.0671,區域公園,明興路211巷口,大型,南區,120.185451,22.929081
389,親水公園(公15),松安里等,3.47,區域公園,濱海公路旁,大型,南區,120.177565,22.930295
390,舉喜段公79公園(華友聯歡喜公園),同安里,3.28,區域公園,萬年五街及萬年六街,大型,南區,120.188226,22.932074
391,舉喜重劃-舉喜段公兒S2,省躬里,0.4682,鄰里公園,萬年路167號(南寧高中)對面明興路925巷,區公所,南區,120.186791,22.934989
392,舉喜重劃-舉喜段公兒S70,省躬里,0.0799,鄰里公園,萬年路406巷口及萬年路,區公所,南區,120.190564,22.93682
393,舉喜重劃-舉喜段公兒S71,興農里,0.2793,鄰里公園,明興路1181巷與萬年七街口,區公所,南區,120.18998,22.925957
394,瀨口公園,文華里,0.4,鄰里公園,中華西路與建南路口,區公所,南區,120.186246,22.985387
395,鯤鯓公園(公兒S1)鯤鯓兒童遊戲區,鯤鯓里,0.12,鄰里公園,鯤鯓路100-1號旁,區公所,南區,120.172098,22.959794
396,觀心園,金華里,0.2094,鄰里公園,聖南街與惠南街交叉,區公所,南區,120.188784,22.979381
397,小南海風景區,廣安里,4.0284,區域公園,普陀寺旁(台南市白河區廣安里37之1號對面),區公所,後壁區,120.394282,23.390892
398,公兒(中埕里鄰公園),中埕里,0.26106,鄰里公園,中山西路2段19巷68號前,區公所,柳營區,120.317044,23.276871
399,公兒3,東昇里,0.29,鄰里公園,十美街211巷,區公所,柳營區,120.319661,23.279769
400,櫻花社區滯洪池,士林里,2.1,區域公園,育英街105巷內,區公所,柳營區,120.307915,23.273568
401,飛砂崙公園(公),忠興里,2.01,區域公園,忠興里180-50號,區公所,將軍區,120.160338,23.200895
402,公兒11,南勢里,0.9,鄰里公園,麻豆國中南側,區公所,麻豆區,120.258458,23.181019
403,全民公園(公1),北勢里,0.43,鄰里公園,監理站東側,區公所,麻豆區,120.249997,23.190117
404,南勢公園(兒10),南勢里,0.43,鄰里公園,麻豆國中東南側,區公所,麻豆區,120.261307,23.181137
405,公4,東關里,3.12,鄰里公園,台19甲旁與納骨堂後,區公所,善化區,120.290047,23.136818
406,凱比吉公園(公兒4-1),文昌里,0.15067,鄰里公園,光復二街西側,區公所,善化區,120.292816,23.127872
407,公兒4-2,文昌里,0.142139,鄰里公園,光復二街東側,區公所,善化區,120.293359,23.127728
408,LM 蓮潭公園(公滯10南科特定區),蓮潭里,5.49,區域公園,南科陽光大道與蓮潭路口,大型,善化區,120.305259,23.113532
409,公滯11(南科特定區),大營里,12.2,區域公園,南科車站東側,大型,善化區,120.30241,23.107712
410,公滯2(南科特定區),南關里,12.15,區域公園,南科木柵港西路與南加弄大道東側,大型,善化區,120.25959,23.107615
411,牛墟公園(公兒1-4),南關里,0.2,鄰里公園,永安路與永福路口,區公所,善化區,120.288205,23.129113
412,LM兒北公園(南科特定區),蓮潭里,0.11,鄰里公園,南科陽光北一路與蓮潭北二街,區公所,善化區,120.305066,23.116753
413,公兒(公7細計),武安里,0.1,鄰里公園,民治路16號巷內,區公所,新化區,120.30507,23.03243
414,公兒1(公1細計),太平里,0.1169,鄰里公園,民生路252巷,區公所,新化區,120.307623,23.041919
415,體育公園(體育處轄管),武安里,5.7096,區域公園,新豐段1213號  與 1214號,區公所,新化區,120.306451,23.029367
416,公兒5,大營里,0.15,鄰里公園,新市國中與新市游泳池對面,區公所,新市區,120.300682,23.082802
417,公滯4(南科特定區),豐華里,5.22,區域公園,南科曼陀林路與看西路口,大型,新市區,120.255211,23.092926
418,新市生態休閒公園,港墘里,3.72,鄰里公園,新市區中山路(台一線)67號旁,區公所,新市區,120.3032,23.079504
419,兒南公園(南科特定區),港墘里,0.87,鄰里公園,南科西拉雅大道與陽光大道口,區公所,新市區,120.309692,23.109444
420,公(兒)七,嘉芳里,0.812,鄰里公園,新運八路,區公所,新營區,120.284138,23.313116
421,公20,新南里,0.33,鄰里公園,明清街旁,區公所,新營區,120.298332,23.309618
422,公3,興業里,0.3588,鄰里公園,公誠街,區公所,新營區,120.318422,23.303918
423,公40公,王公里,0.2836,鄰里公園,民族路302巷,區公所,新營區,120.320642,23.318053
424,公53,新東里,0.5275,鄰里公園,東仁街10巷,區公所,新營區,120.32869,23.316399
425,公兒19,新南里,0.12,鄰里公園,明清二街與近秦漢街,區公所,新營區,120.299974,23.309678
426,公兒21,永平里,0.19,鄰里公園,復興路682巷39弄,區公所,新營區,120.295742,23.307277
427,公兒46, 新東里,0.23,鄰里公園,東光街與東興七街口,區公所,新營區,120.321294,23.318643
428,新東環保公園(公兒50),新東里,0.21,鄰里公園,東泰街與東泰三街口,區公所,新營區,120.326717,23.317553
429,公兒53,忠政里,0.08,鄰里公園,長榮路二段43巷,區公所,新營區,120.314871,23.318869
430,南瀛綠都心(公5),民權里,5.73,區域公園,民治市政中心對面,大型,新營區,120.314781,23.310652
431,隋唐街綠帶,新南里,0.27,鄰里公園,隋唐街(金華路至民治路段),區公所,新營區,120.302621,23.307778
432,新環保公園(公兒48),新東里,0.61,鄰里公園,新泰國小西側,區公所,新營區,120.324417,23.315521
433,綠附1,嘉芳里,0.371,鄰里公園,新營客運轉運中心市地重劃區,區公所,新營區,120.282614,23.31016
434,綠附2,嘉芳里,0.237,鄰里公園,臺南市新營區嘉芳里2鄰新運二路86號,區公所,新營區,120.282682,23.313276
435,楠西公園(公2),東勢里,1.54,區域公園,東勢路與中華路口,區公所,楠西區,120.485753,23.178172
436,公兒1,東勢里,0.36,鄰里公園,民權路86號後,區公所,楠西區,120.487211,23.179336
437,公(兒)2,秀昌里,0.6068,鄰里公園,學甲國小東側,區公所,學甲區,120.175678,23.236888
438,華宗紀念公園(公3),仁得里,1.18,區域公園,圖書館對面(體育館),大型,學甲區,120.181571,23.229225
439,兒童公園(公兒2-1),仁得里,0.2,鄰里公園,八德街與和平路口,區公所,學甲區,120.177613,23.228078
440,森林親子公園(公兒1-1),秀昌里,0.2,鄰里公園,學甲國小與學甲幼兒園旁,區公所,學甲區,120.174066,23.238134
441,新二港公園(公兒2-5),新榮里,0.39,鄰里公園,新二港仔,區公所,學甲區,120.180341,23.221687
442,虎形山休憩公園,崎頂里,5,區域公園,崎頂段龍崎國小旁與崎頂里新市子49號旁,區公所,龍崎區,120.35993,22.964586
443,公1（高鐵特定區）,武東里,1.5,區域公園,高發二路與歸仁九路口,區公所,歸仁區,120.290442,22.92654
444,公2（高鐵特定區）,武東里,1.15,區域公園,歸仁大道與歸仁七路口,區公所,歸仁區,120.286226,22.927577
445,公3（高鐵特定區）,武東里,2.22,區域公園,歸仁大道與歸仁十三路口,區公所,歸仁區,120.287817,22.923574
446,公4（高鐵特定區）,武東里,1.24,區域公園,歸仁大道與歸仁十路口,區公所,歸仁區,120.28437,22.926816
447,公5（高鐵特定區）,武東里,4.92,區域公園,高鐵大道與高鐵二路口,區公所,歸仁區,120.281645,22.924437
448,公6（高鐵特定區）,武東里,2.23,區域公園,歸仁大道與歸仁十二路口,區公所,歸仁區,120.28686,22.922014
449,公一(歸仁區體育公園),許厝里,2.4,區域公園,許厝里信義南路71號,區公所,歸仁區,120.296969,22.963876
450,公兒1（高鐵特定區）,武東里,0.25,鄰里公園,歸仁一路與高發三路口,區公所,歸仁區,120.289501,22.933412
451,公兒2（高鐵特定區）,武東里,1.29,區域公園,歸仁三路與東園街口,區公所,歸仁區,120.289389,22.931127
452,公兒3（高鐵特定區）,武東里,0.9,鄰里公園,歸仁一路與綠園街口,區公所,歸仁區,120.285355,22.931441
453,公兒4（高鐵特定區）,武東里,0.55,鄰里公園,中正南路二段與台電旁,區公所,歸仁區,120.278623,22.929339
454,公兒5（高鐵特定區）,武東里,0.08,鄰里公園,中正南路二段與歸仁八路東側,區公所,歸仁區,120.277206,22.927123
455,公兒6（高鐵特定區）,武東里,0.46,鄰里公園,中正南路二段與歸仁八路西側,區公所,歸仁區,120.276441,22.927419
456,公兒7（高鐵特定區）,武東里,0.83,鄰里公園,中正南路二段與歸仁十二路口,區公所,歸仁區,120.274435,22.922864
457,公兒8（高鐵特定區）,武東里,0.6,鄰里公園,高鐵九路與歸仁十四路口,區公所,歸仁區,120.276527,22.922113
458,公兒9（高鐵特定區）,武東里,0.09,鄰里公園,高鐵三路與歸仁十四路口,區公所,歸仁區,120.2804,22.920611
459,大埤潭公園(公1),松腳里,25.1,區域公園,旺萊路與松平街口,大型,關廟區,120.340485,22.957296
460,新埔社區公園(關廟兒二),山西里,0.21,鄰里公園,新埔二街與忠孝街,區公所,關廟區,120.329605,22.968603
461,公1,橋南里與月港里,1.17,區域公園,康樂路與橋南街東側,大型,鹽水區,120.267932,23.317577
462,公15,岸內里,0.2,鄰里公園,和平路與和平路65巷口,區公所,鹽水區,120.273817,23.326024
463,公17,橋南里與月港里,0.61,區域公園,行昌路水月橋西側,大型,鹽水區,120.270134,23.316448
464,公18-1,橋南里與月港里,1.01,區域公園,行昌路東側,大型,鹽水區,120.270585,23.317963
465,公18-2,津城里與水秀里,2.81,區域公園,文武街東側,大型,鹽水區,120.271526,23.321298
466,公18-3,水秀里,0.1518,區域公園,水秀橋旁,大型,鹽水區,120.274281,23.322465
467,公18-4,橋南里,1.52,區域公園,行昌路水月橋東側,大型,鹽水區,120.270243,23.315265
468,公2,橋南里與月港里,1.0463,區域公園,月津路與西門路口,大型,鹽水區,120.266574,23.317254
469,公9,橋南里,0.2,鄰里公園,月津國小西南側,鄰里,鹽水區,120.264492,23.314426
470,岸內里公園,岸內里,0.12,鄰里公園,北門路9巷旁,鄰里,鹽水區,120.270627,23.32411
471,南門路三角公園,橋南里,0.085,鄰里公園,南門路與172縣道路口,鄰里,鹽水區,120.270784,23.311463
472,朝琴路三角公園,水秀里,0.051,鄰里公園,朝琴與蔦松路口,鄰里,鹽水區,120.272418,23.32375
